Project Name,Architect,Year,City,Continent,Project Type,Aspect,image link?,Source,Primary Source,Secondary Sources,Summary,,,,,,,,,,,,,,
(notes row),,,,,(form),,,,(one primary source link),(separate additional sources by comma),,,,,,,,,,,,,,,
"""Warka Tower""","""Warka Water, Arturo Vittori""","""under construction""","""Warka Village, Cameroon""","""africa""","""built project""","""site, water, energy""","""https://www.archdaily.com/946669/warka-water-and-arturo-vittori-create-integrated-village-for-the-rainforest-community-in-cameroon""","""https://www.warkawater.org/projects/, https://www.archdaily.com/946669/warka-water-and-arturo-vittori-create-integrated-village-for-the-rainforest-community-in-cameroon""",,,"""The Bioclimatic Dwelling in Tenerife by Ruiz Larrea y Asociados used local materials with zero energy cost, such as Tosca volcanic stone and recycled wood, to control air renewal and alleviate impacts on the environment. Local conditions including benign weather conditions led to no heating and cooling requirements, contributing to further reductions in cost. One key aspect of the site - high wind pressure - heavily informed the design of the project, placing it under the Site category. The optimum shape that can withstand high wind is a circle, hence making the Bioclimatic Dwelling circular. This led to the optimum arrangement of spaces and usage of local materials.Furthermore, 2 Warka towers that are located in the community collect 40 to 80 litres of water daily from the air, enabling the community to be self-sufficient. The design of the towers depend on the local conditions, the culture, and the unique characteristics of the site.""",,,,,,,,,,,,,,
"""Divining LA""","""Arid Lands Institute""","""2014""","""Los Angeles, USA""","""north america""","""data""","""water, site, digitalization""","""https://aridlands.org/discover/events/divining-la""","""https://aridlands.org/discover/events/divining-la""",,,"""Arid Lands Institute's Divining LA is an initiative that seeks to alter the way people view water. The collaborative project that brings together scientists, architects, designers, and artists together aims to reveal a ""water-smart future"" for LA through its visualisations of stormwater runoff to expose hidden attributes of water infrastructure. Since Divning LA contradicts the fantasy regarding limitless freshwater supplies from distant sources, it is essentially a ""paradigm shift"" in how we view Water, one of the key aspects of sustainability. The project could provide answers to some of the key issues within society today, such as the problem with excessive demands in water supply.""",,,,,,,,,,,,,,
"""Waterbank Campus""","""PITCHAfrica""","""2014""","""Kenya""","""africa""","""built project""","""water, site, people""","""https://www.archdaily.com/616304/pitchafrica-creates-water-harvesting-campus-and-stadium-for-communities-in-need""","""https://www.archdaily.com/616304/pitchafrica-creates-water-harvesting-campus-and-stadium-for-communities-in-need""",,,"""The Waterbank Campus in Kenya, designed by PITCHAfrica, addresses need for reservoirs in Africa by incorporating the collection system into a football stadium. The bleachers provide clean water to classrooms, public toilets, and health clinics. This design solves problems unique to the site: the waste of rainwater and the anticipated depletion of aquifers. Overall, the campus makes the community sustainable in that people both no longer have to worry about access to clean water and are given opportunities for ""environmentally engaged education.""""",,,,,,,,,,,,,,
"""Architecture Department building, Arizona State University""","""Jone's Studio""","""2007""","""Arizona, USA""","""north america""","""built project""","""water, site, people""","""https://www.architectmagazine.com/design/woodburys-arid-lands-institute-rethinks-water-in-the-west-with-divining-la_o""","""https://www.architectmagazine.com/design/woodburys-arid-lands-institute-rethinks-water-in-the-west-with-divining-la_o, https://www.archdaily.com/103771/cala-jones-studio""",,,"""The Architecture Department Building in Arizona State University resembles a desert oasis, where the building is referred to a classroom itself. Jones Studio, who designed the building, incorporated an intelligent water system to make the whole project self-sustainable: additions on the roof capture rainwater and condensates from air conditioners. Therefore, the project maintains a close relationship with water, and this is apparent as seen in how the roof system produces approximately 85,000 gallons per year alone. Furthermore, the Underwood Garden is home to local species such as fish, preserving the unique characteristics of the site.""",,,,,,,,,,,,,,
"""Stepwells""",,,"""multiple""","""multiple""",,"""water, site, people""",,,,,"""Stepwells are multi-storied subterranean structures with significant ornamental and architectural features. They usually have two parts: a vertical shaft of water and the cascading galleries, chambers and a flight of orchestrated steps They are an ingenious system for rainwater harvesting and served as water reservoirs. Stepwells were built along natural slopes to collect run offs and acted as rainwater catchment areas, often connected to ponds so they could channel rainwater.""",,,,,,,,,,,,,,
"""Decentralized Water Systems""","""Victorian Eco-Innovation Lab (VEIL), International Living Future Institute's (ILFI's) Cascadia Green Building Council (CGBC)""","""2016""","""Michigan, USA""","""north america""","""proposal""","""water""","""https://www.architectmagazine.com/technology/the-architectural-impetus-for-decentralized-water-systems_o""","""https://www.architectmagazine.com/technology/the-architectural-impetus-for-decentralized-water-systems_o""",,,"""The strain on centralised water systems, which have been under constant stress from new types of pollutants, increasing population density, and varying precipitation patterns, have led to the proposal of decentralised water systems, which entail significant benefits compared to the current system. For instance, there is less contamination risk, improved energy performance, and better management of resources.Despite certain shortcomings such as cost and safety, net-zero water systems will highly likely provide the solution to problems with the underground pipes that are nearing the end of their life span. Therefore, the rolf of decentralised systems as a potential alternative in the future to our supply of water places it under the Water aspect.""",,,,,,,,,,,,,,
"""VATnsmyri""","""Sean Lally""","""2019""","""Reykjavik, Iceland""","""europe""","""proposal""","""site, water, energy""","""http://seanlally.net/2019/02/18/vat/""","""http://seanlally.net/2019/02/18/vat/""",,,"""VATnsmyri, a proposal in Reykjavik, Iceland, engages the pre-existing thermal pools on the site to produce a ""climatic wash"" that extends the seasonal activities to allow longer time outdoors. Sean Lally, who designed the project, extpects this system to allow the growth of vegetation and the promotion of social activities in public parks, since artificial microclimates will form within new building masses. This project is an example of how the architect uses the presence of water and the unique characteristics of the site (thermal pools with ocean water) to envision a new landform that will connect different landscapes.""",,,,,,,,,,,,,,
"""HiLo unit for NEST""","""Block Research Group""","""2021""","""Dubendorf, Switzerland""","""europe""","""built project""","""fabrication, digitalization""","""https://brg.ethz.ch/hilo""","""https://brg.ethz.ch/hilo""",,,"""Following the principle of ""High Performance – Low Emissions"", NEST's HiLo unit realized by ETH Zurich's Block Research Group and the Architecture and Building Systems Group in cooperation with numerous industrial partners, demonstrates how attractive architecture can be when combining energy- and resource-saving construction and operation. The unit brings together innovative planning and design methods for efficient structures in concrete with self-learning and adaptive building technologies.The HiLo Unit features innovations that address challenges of global resource and energy consumption and greenhouse gas emissions, especially perpetuated by the construction industry is responsible for a large share. The integrated design and Fabrication approach used to build the two-story unit marks a starting point for the way we may design and build in the future.""",,,,,,,,,,,,,,
"""Centre Culturel Jean-Marie Tjibaou""","""Renzo Piano""","""1998""","""Noumea, New Caledonia""","""oceania""","""built project""","""site, people, biological metabolism""","""https://www.archdaily.com/600641/ad-classics-centre-culturel-jean-marie-tjibaou-renzo-piano""","""https://www.archdaily.com/600641/ad-classics-centre-culturel-jean-marie-tjibaou-renzo-piano""",,,"""Centre Culturel Jean-Marie Tjibaou by Renzo Piano aimed to smoothen out ethnic tensions between the Kanak people and the island's European inhabitants. The architects manipulated the form of the building to create a sequence of 10 round shells that stretched along the hillside. The shape of the shells employed traditional construction principles while imitating the profile of the surrounding trees to blend into the physical site as well as its historical context. Piano made further elaborations to the Kanak tradition whereby indirect passageways are the proper entry points to a building. On the opening day, non-Kanak people were left in confusion while Kanak people ""wandered calmly to it."" Such aspects of the cultural centre reveal how the architects took into account both the culture of the users and the physical surroundings.""",,,,,,,,,,,,,,
