Project Name,Architect,Year,City,Continent,Project Type,Aspect,Image link,Source,Summary
"""Marrickville Library""","""BVN Architects""","""2019""","""Marrickville, Australia""","""oceania""","""project""","""site, people""","""http://d2p83z8mja0pcr.cloudfront.net/wp-content/uploads/2015/09/06124244/Thumnail.jpg""","""http://www.bvn.com.au/projects/marrickville-library/, https://www.architecture.com.au/awards/2020-national-architecture-awards-winners-sustainable-architecture""","""The Marrickville Library, designed by BVN Architects, is located in Marrickville, Australia, and aims to minimise the footprint of the building while engaging the educational and cultural aspects of the community. Modern construction was used to renovate the building and to enable natural light and ventilation through skylights on the ceiling and large windows that also open up views to the garden and site itself. Meanwhile, the profile of the floating canopy roof was constructed based on the original pitched roof of the hospital building, hence showing the attempt to preserve what was on the site as much as possible. Other elements, including tiling, flooring, and window frames were also kept. Such an inclusive design represents the diversity of the community in Marrickville."""
"""UMAR""","""Werner Sobek, Felix Heisel, Dirk Hebel""","""2018""","""Dubendorf, Switzerland""","""europe""","""project""","""technical metabolism, circular economy""","""http://nest-umar.net/wp-content/uploads/01_UMAR_Exterior_copyright-Zooey-Braun.jpg""","""http://nest-umar.net/""","""The Urban Mining and Recycling (UMAR) Experimental Unit designed by Werner Sobek with Dirk E. Hebel and Felix Heisel is one of the units at the NEST research building on the campus of the Swiss Federal Laboratories for Materials Science and Technology (Empa) in Dübendorf, Switzerland. The building design demonstrates how a responsible approach to dealing with our natural resources can go hand in hand with appealing architectural form. The project is underpinned by the proposition that all the resources required to construct a building must be fully reusable, recyclable, or compostable. This places life-cycle thinking at the forefront of the design: instead of merely using and subsequently disposing of resources, they are borrowed from their technical and biological cycles for a certain amount of time before being put back into circulation once again. This conceptual emphasis means that UMAR functions simultaneously as a material laboratory and as a temporary material storage."""
"""Cranmer Road, King's College""","""Allies and Morrison""","""2020""","""Cambridge, UK""","""europe""","""project""","""site""","""https://alliesandmorrison.imgix.net/projects/CS_16065_CranmerRoad_Thumbnail_v2.jpg?crop=focalpoint&domain=allies-and-morrison.imgix.net&fit=clip&w=1500&h=977.17041800643&q=82&fm=pjpg&fp-x=0.5&fp-y=0.5&ixlib=php-2.1.1""","""https://www.dezeen.com/awards/2021/longlists/cranmer-road-kings-college-2/, https://www.alliesandmorrison.com/projects/kings-college-cambridge""","""Cranmer Road, King's College, is a student housing building for Cambridge University in the United Kingdom designed by Allies and Morrison. The new student accommodation consists of two parts - the Garden Building and the Villa Building - that aim to enhance the well-being of the residents on campus. One key challenge to the project was integrating the pre-existing buildings, while taking into account the West Cambridge Conservation Area located near to the site. The resulting villa has a scale similar to that of its neighbours, while the materiality is also quite similar (red brick walls, tiled roofs, and white window frames). Cross laminated timber was used to reduce the impact of embodied carbon and to speed up the construction process. Furthermore, the architects put an emphasis on the ""opportunity to create new, energy efficient buildings"" that could join the community. Overall, very low heating requirements were achieved through the Passivhaus system where heating is provided by electric heaters to minimise energy loss from distributing the heat."""
"""Light House""","""Alexander Symes Architect""","""2021""","""Australia Avenue, Australia""","""oceania""","""project""","""energy, technical metabolism, site""","""https://archello.com/thumbs/images/2022/01/18/alexander-symes-architect-light-house-private-houses-archello.1642500172.5671.jpg?fit=crop&w=1920&h=1080""","""https://archello.com/project/light-house-7, https://www.architectureanddesign.com.au/news/2021-sustainability-awards-winners-review#""","""Light House, by Alexander Symes Architect, is a revitalisation project of a pre-existing two storey home located in Australia Avenue, Australia. The original home was a dark house with a brick facade; entryways were narrow and overshadowed by neighbouring buildings. Hence, the aim of the project was to enable natural lighting while minimising destruction. The entry to the house was reconstructed so that the residents can enter from streetlevel, and people are led directly to the garden space. The installation of glazing, skylights, and an insulated envelope both enhanced the performance of the building and established connections to the garden. Lighting on the garden was also emphasised so that the house almost feels disconnected from the dense, urban context of the city."""
"""Citizen.MDW""","""ZWEI Interior Architecture""","""2020""","""Melbourne VIC, Australia""","""oceania""","""project""","""technical metabolism, circular economy""","""https://archello.s3.eu-central-1.amazonaws.com/images/2020/05/25/105253.1590389897.5103.jpg""","""https://archello.com/project/citizenmdw, https://www.dezeen.com/awards/2021/longlists/citizenmdw/""","""Citizen.MDW is a temporary popup cafe designed by ZWEI Interior Architecture as part of the Melbourne Design Week in Australia. The cafe operates within the ethos of achieving a circular economy, and materials have been chosen accordingly - sustainable qualities and minimum impact on the environment were factors prioritised over other features. Reused milk crates were folded and interlocked with each other vertically, and they can also be broken down after deconstruction to form plastic flakes for post-consumer plastic sheeting. The architect ensured that all operations were able to work under the capacity of the solar panels in the cafe, hence removing dishwashers to reduce electrical demand while asking patrons to bring their own cups. Furthermore, coffee waste was used to grow mushrooms in order to show how people can easily get compost to grow their own mushrooms at home."""
"""Pingelly Recreation and Cultural Centre""","""Iredale Pedersen Hook Architects""","""2019""","""Pingelly, Australia""","""oceania""","""project""","""fabrication, people, site""","""https://archinect.imgix.net/uploads/c5/c5d9bxl3ka339qw7.jpg?fit=crop&auto=compress%2Cformat&w=710""","""https://architizer.com/projects/pingelly-recreation-and-cultural-centre/, https://www.architecture.com.au/awards/2020-national-architecture-awards-winners-sustainable-architecture""","""The Pingelly Recreation and Cultural Centre by Iredale Pedersen Hook Architects used material as a design solution for a low-impact, sustainable, and highly aesthetic building. The cultural centre consists of four pavilions linked by a verandah; the verandah provides space for various activities, while sheltering the users from the extreme wind and sun. The halls are lined with timber cassettes that utilise recycled insulation batts to provide efficient thermal insulation and acoustic absorbance. The key emphasis on the design was the sustainability aspect, where 1,000 tonnes of plantation were bought from the South West Forests to be processed locally. It was mainly used in the decking and the exposed areas of the cladding, where harsh climates could be resisted."""
"""Tea Leaf Market of Zhuguanlong Township""","""SUP Atelier""","""2020""","""Ningde, China""","""asia""","""project""","""site, fabrication, people""","""https://architizer-prod.imgix.net/media/mediadata/uploads/162269302931501.jpg?fit=max&w=1080&q=60&auto=format&auto=compress&cs=strip""","""https://architizer.com/blog/projects/tea-leaf-market-of-zhuguanlong/, https://www.dezeen.com/awards/2021/longlists/tea-leaf-market-of-zhuguanlong-township-2/""","""Located in Zhuguanlong Township, in Southeast China, the Tea Leaf Market designed by SUP Atelier is built for local people’s tea leaf trading activities. Working together with local authorities, the designers explored the possibility of a large-span space of high utilization efficiency using raw bamboo. The design explores a replicable prototype as a generator for rural areas, integrating the main function of product trading with multi-adapted village activities to boost rural life. Apart from seasonal tea leaf trading, the market can be used for various local activities such as festivals and weddings. The main structure is built of rammed earth and concrete with terrazzo floors that present a natural solidness while also indicating human-nature harmony. The metal roof is joined seamlessly with the light bamboo structure, stretching over a span of 18m, guaranteeing both durability and the climatic adaptability of the building."""
"""Divining LA""","""Arid Lands Institute""","""2014""","""Los Angeles, USA""","""north america""","""tool""","""water, site, digitalization""","""https://aridlands.org/sites/default/files/styles/event_detail_image/public/field/image/Divining%20LA%20image.jpg?itok=rltfkahb""","""https://aridlands.org/discover/events/divining-la""","""Arid Lands Institute's Divining LA is an initiative that seeks to alter the way people view water. The collaborative project that brings together scientists, architects, designers, and artists together aims to reveal a ""water-smart future"" for LA through its visualisations of stormwater runoff to expose hidden attributes of water infrastructure. Since Divning LA contradicts the fantasy regarding limitless freshwater supplies from distant sources, it is essentially a ""paradigm shift"" in how we view water. The project could provide answers to some of the key issues within society today, such as the problem with excessive demands in water supply."""
"""Landscape Park Duisburg Nord""","""Latz+Partners""","""2002""","""Duisburg, Germany""","""europe""","""project""","""site, water""","""https://assets.latzundpartner.de/media/cache/82/b5/82b5873d07565816c393877cae59366b.jpg""","""https://www.latzundpartner.de/en/projekte/postindustrielle-landschaften/landschaftspark-duisburg-nord-de/""","""The landscape park Duisburg Nord, designed by Latz und Partner, focuses on the environmental, economic, and social transformation of an old industrialised region. The idea was to integrate and interlink the existing patterns formed by its previous industrial use, while finding a new interpretation.The park is divided into different areas, whose borders were carefully developed by examining existing conditions, such as how the site had already been separated by existing roads. The segments were woven together by a series of walkways and waterways that were placed according to the old railway and sewer systems. While each piece retains its character, a dialogue is created with the site surrounding it. Individual systems operate independently, as seen in the low-lying water park, the single fields, and the clumps of vegetation, but they connect at points through specific visual and functional elements."""
"""compass, rv2, equilibrium""","""Bloch Research Group""","""2020""","""Zürich, Switzerland""","""europe""","""tool""","""digitalization""","""https://block.arch.ethz.ch/brg/images/cache/compas_intro_1513953958_960x540.jpg?1513953958, https://block.arch.ethz.ch/brg/images/cache/rv2_16x9_1596616973_960x540.jpg?1596616973, https://block.arch.ethz.ch/brg/images/cache/eq_logo_1920x1080_1424695612_960x540.png?1424695612""","""https://block.arch.ethz.ch/brg/tool""","""RhinoVAULT 2 (RV2), COMPAS and eQUILIBIRUM are open-source research and development platforms, developed by ETH Zurich, for form-finding, computational research, and collaboration across disciplines in Architecture, Engineering, and Digital Fabrication. RhinoVAULT 2 (RV2) is a platform for funicular form-finding built with COMPAS, a Python-based framework for computational research. eQUILIBIRUM is a dynamic e-learning and teaching environment for structural design and analysis, based on graphic statics, in which architects and engineers of all skill levels can deepen their knowledge and understanding of structures in an interactive manner. It is implemented as a dynamic website on which structures are taught in an exciting and exploratory manner, using interactive drawings. The project uses intuitive, graphical approaches such as graphic statics to explore structural form."""
